order_id,customer_id,event_time,postal_code,event_name
584774226f2023-09-04 02:00:00,584774226f,2023-09-04 02:00:00,,first_order
e4dd0a340c2023-09-12 01:00:00,e4dd0a340c,2023-09-12 01:00:00,,first_order
7c0b78693f2023-09-06 03:00:00,7c0b78693f,2023-09-06 03:00:00,1475.0,first_order
d4c30bc0212023-09-26 00:00:00,d4c30bc021,2023-09-26 00:00:00,83095.0,first_order
f56fde81692023-10-04 01:00:00,f56fde8169,2023-10-04 01:00:00,21329.0,first_order
b848e348622023-10-05 00:00:00,b848e34862,2023-10-05 00:00:00,14251.0,first_order
95fef320d22023-10-04 02:00:00,95fef320d2,2023-10-04 02:00:00,43036.0,first_order
5788a39dec2023-10-20 02:00:00,5788a39dec,2023-10-20 02:00:00,,first_order
e948c24b722023-09-14 01:00:00,e948c24b72,2023-09-14 01:00:00,70410.0,first_order
d7f3d57e0b2023-10-10 02:00:00,d7f3d57e0b,2023-10-10 02:00:00,66390.0,first_order
6ca2c1765e2023-09-04 01:00:00,6ca2c1765e,2023-09-04 01:00:00,49588.0,first_order
6022a3b31e2023-09-19 01:00:00,6022a3b31e,2023-09-19 01:00:00,,first_order
6f6c2923502023-09-05 00:00:00,6f6c292350,2023-09-05 00:00:00,65235.0,first_order
baa8685dd52023-10-20 01:00:00,baa8685dd5,2023-10-20 01:00:00,70813.0,first_order
b56b59e8c82023-09-25 02:00:00,b56b59e8c8,2023-09-25 02:00:00,97393.0,first_order
5043a53a8f2023-09-14 01:00:00,5043a53a8f,2023-09-14 01:00:00,25560.0,first_order
a44fea97712023-09-06 02:00:00,a44fea9771,2023-09-06 02:00:00,48434.0,first_order
ee8202434a2023-09-26 03:00:00,ee8202434a,2023-09-26 03:00:00,56372.0,first_order
403f5e4ef42023-09-11 00:00:00,403f5e4ef4,2023-09-11 00:00:00,55140.0,first_order
9f663ff9322023-09-07 04:00:00,9f663ff932,2023-09-07 04:00:00,48582.0,first_order
51333f41e62023-09-21 01:00:00,51333f41e6,2023-09-21 01:00:00,21656.0,first_order
ec9a3a54562023-10-16 01:00:00,ec9a3a5456,2023-10-16 01:00:00,55183.0,first_order
e72b4e31aa2023-10-02 02:00:00,e72b4e31aa,2023-10-02 02:00:00,87607.0,first_order
ad738a6d682023-09-04 02:00:00,ad738a6d68,2023-09-04 02:00:00,71444.0,first_order
3599976a432023-09-28 01:00:00,3599976a43,2023-09-28 01:00:00,17059.0,first_order
e84e9a4d102023-09-29 01:00:00,e84e9a4d10,2023-09-29 01:00:00,14222.0,first_order
d6274d54a42023-10-17 01:00:00,d6274d54a4,2023-10-17 01:00:00,16400.0,first_order
e4c3867f3a2023-09-26 00:00:00,e4c3867f3a,2023-09-26 00:00:00,26766.0,first_order
c80e821a062023-10-25 03:00:00,c80e821a06,2023-10-25 03:00:00,,first_order
0ad6521fc22023-09-14 03:00:00,0ad6521fc2,2023-09-14 03:00:00,70291.0,first_order
2c21db48ad2023-09-22 01:00:00,2c21db48ad,2023-09-22 01:00:00,90604.0,first_order
9ee48ee3c52023-09-20 00:00:00,9ee48ee3c5,2023-09-20 00:00:00,35440.0,first_order
813a4a5c6d2023-10-03 01:00:00,813a4a5c6d,2023-10-03 01:00:00,1129.0,first_order
34defc5a872023-09-13 02:00:00,34defc5a87,2023-09-13 02:00:00,39154.0,first_order
6e1f3152422023-09-26 01:00:00,6e1f315242,2023-09-26 01:00:00,15810.0,first_order
2340805ccd2023-09-15 00:00:00,2340805ccd,2023-09-15 00:00:00,,first_order
ac71c7d5612023-09-25 01:00:00,ac71c7d561,2023-09-25 01:00:00,,first_order
430ef20ec12023-09-19 01:00:00,430ef20ec1,2023-09-19 01:00:00,15784.0,first_order
dc6959635b2023-09-07 01:00:00,dc6959635b,2023-09-07 01:00:00,21540.0,first_order
6c9d788b2a2023-10-23 02:00:00,6c9d788b2a,2023-10-23 02:00:00,51571.0,first_order
ea772682012023-09-17 02:00:00,ea77268201,2023-09-17 02:00:00,95634.0,first_order
dfa13006f52023-09-07 01:00:00,dfa13006f5,2023-09-07 01:00:00,47303.0,first_order
9d0d58af5a2023-10-12 02:00:00,9d0d58af5a,2023-10-12 02:00:00,72789.0,first_order
38b56072c32023-09-08 01:00:00,38b56072c3,2023-09-08 01:00:00,13537.0,first_order
c048bf9bd72023-09-06 02:00:00,c048bf9bd7,2023-09-06 02:00:00,53399.0,first_order
9d23e54e382023-11-01 01:00:00,9d23e54e38,2023-11-01 01:00:00,41476.0,first_order
91f51c5f4d2023-09-25 01:00:00,91f51c5f4d,2023-09-25 01:00:00,,first_order
aa6aa480a12023-09-01 01:00:00,aa6aa480a1,2023-09-01 01:00:00,60438.0,first_order
94711e49dd2023-09-28 01:00:00,94711e49dd,2023-09-28 01:00:00,33494.0,first_order
4f17da431d2023-09-27 01:00:00,4f17da431d,2023-09-27 01:00:00,10611.0,first_order
bbb4e182fd2023-10-10 03:00:00,bbb4e182fd,2023-10-10 03:00:00,,first_order
5aa34a29c52023-09-09 00:00:00,5aa34a29c5,2023-09-09 00:00:00,68850.0,first_order
35c3a70a3a2023-09-01 02:00:00,35c3a70a3a,2023-09-01 02:00:00,97422.0,first_order
9312da5ece2023-09-01 00:00:00,9312da5ece,2023-09-01 00:00:00,16835.0,first_order
c780dfda8f2023-10-24 01:00:00,c780dfda8f,2023-10-24 01:00:00,49588.0,first_order
5937cceae22023-09-18 01:00:00,5937cceae2,2023-09-18 01:00:00,70833.0,first_order
b08b28fd552023-09-27 00:00:00,b08b28fd55,2023-09-27 00:00:00,10643.0,first_order
26162c954d2023-09-20 02:00:00,26162c954d,2023-09-20 02:00:00,53595.0,first_order
b7bccdabc72023-10-30 01:00:00,b7bccdabc7,2023-10-30 01:00:00,48271.0,first_order
61799ed34d2023-09-22 01:00:00,61799ed34d,2023-09-22 01:00:00,4318.0,first_order
f72c8350412023-10-03 02:00:00,f72c835041,2023-10-03 02:00:00,32165.0,first_order
4f73ac0ff32023-10-23 01:00:00,4f73ac0ff3,2023-10-23 01:00:00,42783.0,first_order
20ee4bbefb2023-10-08 02:00:00,20ee4bbefb,2023-10-08 02:00:00,70341.0,first_order
aac323a4eb2023-11-01 03:00:00,aac323a4eb,2023-11-01 03:00:00,24697.0,first_order
7dc9f546222023-09-05 01:00:00,7dc9f54622,2023-09-05 01:00:00,69198.0,first_order
a13452f0d62023-10-25 02:00:00,a13452f0d6,2023-10-25 02:00:00,51739.0,first_order
ffa96dc2ee2023-10-10 01:00:00,ffa96dc2ee,2023-10-10 01:00:00,26182.0,first_order
34010520072023-09-06 01:00:00,3401052007,2023-09-06 01:00:00,1487.0,first_order
7884811dfb2023-10-05 02:00:00,7884811dfb,2023-10-05 02:00:00,18600.0,first_order
3e617eeff82023-09-20 02:00:00,3e617eeff8,2023-09-20 02:00:00,89414.0,first_order
bd294278712023-09-26 01:00:00,bd29427871,2023-09-26 01:00:00,21599.0,first_order
a049fa6e962023-09-07 01:00:00,a049fa6e96,2023-09-07 01:00:00,65241.0,first_order
791c6bc0882023-10-30 03:00:00,791c6bc088,2023-10-30 03:00:00,,first_order
1e20e483f22023-09-12 01:00:00,1e20e483f2,2023-09-12 01:00:00,40655.0,first_order
29363fd5d12023-10-11 02:00:00,29363fd5d1,2023-10-11 02:00:00,19403.0,first_order
5b9c8ccba12023-09-06 02:00:00,5b9c8ccba1,2023-09-06 02:00:00,48359.0,first_order
3f568cfd142023-09-27 01:00:00,3f568cfd14,2023-09-27 01:00:00,64608.0,first_order
c7d9dad3462023-10-03 00:00:00,c7d9dad346,2023-10-03 00:00:00,,first_order
3aef5f5b682023-10-19 02:00:00,3aef5f5b68,2023-10-19 02:00:00,69297.0,first_order
2a7ca7265e2023-10-17 01:00:00,2a7ca7265e,2023-10-17 01:00:00,33109.0,first_order
450e41211f2023-10-17 02:00:00,450e41211f,2023-10-17 02:00:00,16400.0,first_order
6d40d13ccc2023-10-11 00:00:00,6d40d13ccc,2023-10-11 00:00:00,61197.0,first_order
5982780c992023-11-01 01:00:00,5982780c99,2023-11-01 01:00:00,71571.0,first_order
8d74afa1e22023-10-02 00:00:00,8d74afa1e2,2023-10-02 00:00:00,67604.0,first_order
c9a1b943d22023-10-25 01:00:00,c9a1b943d2,2023-10-25 01:00:00,59571.0,first_order
3dfe101ab22023-10-20 00:00:00,3dfe101ab2,2023-10-20 00:00:00,91418.0,first_order
c501ad49232023-09-27 02:00:00,c501ad4923,2023-09-27 02:00:00,38927.0,first_order
dedcc832102023-11-01 02:00:00,dedcc83210,2023-11-01 02:00:00,41859.0,first_order
f19c083ee52023-09-11 02:00:00,f19c083ee5,2023-09-11 02:00:00,84248.0,first_order
d71e9ba9532023-09-19 02:00:00,d71e9ba953,2023-09-19 02:00:00,79474.0,first_order
9453d58ae72023-09-13 01:00:00,9453d58ae7,2023-09-13 01:00:00,86908.0,first_order
4aade52de42023-09-05 00:00:00,4aade52de4,2023-09-05 00:00:00,29577.0,first_order
